Transaction Name,Acquiree Name,Acquirer Name,Announced Date,Price,Acquisition Type,Acquisition Terms,Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree Headquarters Location,Acquiree's Estimated Revenue Range,Acquiree's Total Funding Amount,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer Funding Status,Acquirer's Number of Funding Rounds
Siliquent Technologies acquired by Broadcom,Siliquent Technologies,Broadcom,"Jul 19, 2005","$84,000,000",Acquisition,—,Siliquent Technologies is a fabless semiconductor company dedicated to expanding Ethernet's applications.,—,"Electronics, Manufacturing, Semiconductor","Mountain View, California, United States",—,"$31,000,000",M&A,2,"Broadcom is a leading designer, developer and global supplier of a broad range of analog and digital semiconductor connectivity solutions.","Mobile, Semiconductor, Wireless","San Jose, California, United States",—,—,M&A,1
CDG acquired by The Boeing Company,CDG,The Boeing Company,"Sep 6, 2000","$183,000,000",Acquisition,Cash,CDG provides strategic engineering solutions and software for industries.,—,"Information Technology, Manufacturing, Software","Cypress, California, United States",—,—,M&A,—,"Boeing Company manufactures and sells aircraft, rotorcraft, rockets, and satellites and provides product leasing and support services.","Aerospace, Manufacturing, National Security, Transportation","Chicago, Illinois, United States",—,"$1,500,000,000",IPO,1
Target Therapeutics acquired by Boston Scientific,Target Therapeutics,Boston Scientific,"Jan 21, 1997",—,Acquisition,—,Target Therapeutics develops disposable medical devices for use in minimally-invasive procedures that are used to treat vascular diseases.,—,"Fitness, Health Care","Fremont, California, United States",—,—,M&A,—,Boston Scientific is a leading innovator of medical solutions that improve the health of patients around the world.,"Health Care, Manufacturing, Medical, Medical Device","Marlborough, Massachusetts, United States",—,"$1,000,000,000",IPO,1
Access Closure acquired by Cardinal Health,Access Closure,Cardinal Health,"Apr 2, 2014",—,—,Cash,Access Closure is a medical device company providing access site management products for the vascular closure during diagnostic procedures.,—,"Health Care, Health Diagnostics, Medical Device","Mountain View, California, United States",—,"$13,793,098",M&A,3,Cardinal Health is a Fortune 19 company that improves the cost-effectiveness of health care.,"Health Care, Hospital, Medical","Dublin, Ohio, United States",—,"$78,000,000",IPO,1
PlassoTech acquired by Autodesk,PlassoTech,Autodesk,"Aug 27, 2007",—,Acquisition,—,"PlassoTech, is a supplier of analysis and simulation software for the mechanical design market.",—,"Simulation, Software",—,—,—,M&A,—,"Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.","3D Technology, Architecture, Construction, Software","San Rafael, California, United States",—,—,IPO,—
Bundle acquired by Capital One,Bundle,Capital One,"Nov 30, 2012",—,—,—,"Bundle is an online database of money spending and saving trends, providing information on how people spend, save and invest money.",—,"Database, Finance, Web Browsers","New York, New York, United States",—,—,M&A,1,"Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.","Banking, Credit Cards, Finance, Financial Services","Mclean, Virginia, United States",—,—,IPO,—
Alphamosaic acquired by Broadcom,Alphamosaic,Broadcom,"Sep 22, 2004","$123,000,000",Acquisition,Cash & Stock,Alphamosaic is a provider of mobile video solutions.,—,"Mobile, Semiconductor, Software, Video","Cambridge, Cambridgeshire, United Kingdom",—,"$27,734,981",M&A,3,"Broadcom is a leading designer, developer and global supplier of a broad range of analog and digital semiconductor connectivity solutions.","Mobile, Semiconductor, Wireless","San Jose, California, United States",—,—,M&A,1
Eatem Foods acquired by Archer Daniels Midland Company,Eatem Foods,Archer Daniels Midland Company,"Oct 1, 2015",—,Acquisition,—,"Eatem Foods Company, established in 1983, is an industrial leader and quality supplier of flavor systems.",—,"Food and Beverage, Manufacturing","Vineland, New Jersey, United States",—,—,M&A,—,Archer Daniels Midland Company (NYSE: ADM) have transformed crops into products that serve vital needs.,"Animal Feed, Hospitality, Industrial","Chicago, Illinois, United States",—,—,IPO,—
GRAITEC Group - Steel Products acquired by Autodesk,GRAITEC Group - Steel Products,Autodesk,"Oct 2, 2013",—,Acquisition,—,GRAITEC is an Autodesk Platinum Partner in Europe and America and a long standing.,—,Software,"San Rafael, California, United States",—,—,M&A,—,"Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.","3D Technology, Architecture, Construction, Software","San Rafael, California, United States",—,—,IPO,—
Wikibuy acquired by Capital One,Wikibuy,Capital One,"Nov 20, 2018",—,Acquisition,—,"Wikibuy aims to make saving money effortless, automatically finding lower prices, coupons, and rewards while you shop online.",—,"E-Commerce, Mobile Apps, Web Apps","West Lake Hills, Texas, United States",—,—,M&A,—,"Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.","Banking, Credit Cards, Finance, Financial Services","Mclean, Virginia, United States",—,—,IPO,—
Synthicity acquired by Autodesk,Synthicity,Autodesk,Apr 2015,—,—,—,Synthicity provides easy-to-use software applications to support informed engagement by the stakeholders in decisions about urban,—,"3D Technology, Architecture, Data Visualization, Geospatial, Real Estate, Software","Berkeley, California, United States",—,—,M&A,—,"Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.","3D Technology, Architecture, Construction, Software","San Rafael, California, United States",—,—,IPO,—
Pyxis Corporation acquired by Cardinal Health,Pyxis Corporation,Cardinal Health,"Feb 8, 1996",—,Acquisition,—,Pyxis Corporation,—,"Apps, Health Care, Information Technology",—,—,—,M&A,—,Cardinal Health is a Fortune 19 company that improves the cost-effectiveness of health care.,"Health Care, Hospital, Medical","Dublin, Ohio, United States",—,"$78,000,000",IPO,1
Blue Ridge Numerics acquired by Autodesk,Blue Ridge Numerics,Autodesk,"Feb 17, 2011",—,—,Cash,"Blue Ridge Numerics, Inc. designs and sells CFD software in North America. It offers CFdesign, which enables mechanical engineers to study",—,Software,"Charlottesville, Virginia, United States",—,—,M&A,—,"Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.","3D Technology, Architecture, Construction, Software","San Rafael, California, United States",—,—,IPO,—
Asthmatx acquired by Boston Scientific,Asthmatx,Boston Scientific,"Sep 21, 2010","$443,500,000",Acquisition,—,Asthmatx is a medical device company focused on developing and commercializing a therapeutic treatment for asthma in the United States.,—,"Health Care, Medical Device, Therapeutics","Sunnyvale, California, United States",—,"$50,000,000",M&A,1,Boston Scientific is a leading innovator of medical solutions that improve the health of patients around the world.,"Health Care, Manufacturing, Medical, Medical Device","Marlborough, Massachusetts, United States",—,"$1,000,000,000",IPO,1
CIE Automotive acquired by BlackRock,CIE Automotive,BlackRock,"Jul 15, 2013",—,Leveraged Buyout,—,"CIE Automotive is engages in the design, manufacture and sale of components and sub-assemblies to the automotive market worldwide.",—,"Automotive, Manufacturing","Bilbao, Pais Vasco, Spain",—,—,M&A,—,"BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.","Asset Management, Banking, Consulting, Crowdfunding, Finance, Financial Services, FinTech, Internet, Risk Management","New York, New York, United States",—,—,IPO,—
Ambit Design Systems acquired by Cadence Design Systems,Ambit Design Systems,Cadence Design Systems,"Sep 30, 1998",—,—,—,"Ambit Design Systems, Inc. provides Electronic Design Automation software for the design of complex, high performance chips.",—,"Electronics, Software","Santa Clara, California, United States",—,—,M&A,—,"Cadence Design Systems develops electronic design automation, software, hardware and silicon intellectual property technologies.","Electronic Design Automation (EDA), Hardware, Software","San Jose, California, United States",—,—,IPO,—
Kinray acquired by Cardinal Health,Kinray,Cardinal Health,"Nov 18, 2010","$1,300,000,000",Acquisition,Cash,"Kinray is a distributor of pharmaceutical, generic, health and beauty, and home health care products.",—,Pharmaceutical,"Whitestone, New York, United States",—,—,M&A,—,Cardinal Health is a Fortune 19 company that improves the cost-effectiveness of health care.,"Health Care, Hospital, Medical","Dublin, Ohio, United States",—,"$78,000,000",IPO,1
Ithaca Software acquired by Autodesk,Ithaca Software,Autodesk,"Aug 4, 1993",—,Acquisition,—,Ithaca Software provides prepackaged software services.,—,"Information Technology, Software","Alameda, Andalucia, Spain",—,—,M&A,—,"Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.","3D Technology, Architecture, Construction, Software","San Rafael, California, United States",—,—,IPO,—
HLS Freight Services acquired by Cardinal Health,HLS Freight Services,Cardinal Health,"Jul 30, 2010",—,—,—,HLS Freight Services is a company that was acquired by Cardinal Health in 2010.,—,"Health Care, Medical",—,—,—,M&A,—,Cardinal Health is a Fortune 19 company that improves the cost-effectiveness of health care.,"Health Care, Hospital, Medical","Dublin, Ohio, United States",—,"$78,000,000",IPO,1
Kelway acquired by CDW Corporation,Kelway,CDW Corporation,"Aug 3, 2015",—,Acquisition,—,"Kelway is specialized in the design, implementation, and deployment of business-critical enterprise systems.",—,"Enterprise Software, Information Technology, Virtualization","London, England, United Kingdom",—,"$9,690,000",M&A,1,"CDW is a provider of IT solutions for business, government, education and healthcare.","Hardware, Information Technology, Service Industry, Software","Vernon Hills, Illinois, United States",—,"$58,738,637",IPO,1
Diablo Research Co. LLC acquired by Cadence Design Systems,Diablo Research Co. LLC,Cadence Design Systems,"Jan 1, 1999",—,Acquisition,—,Diablo Research Co. LLC is a design services company focuses on wireless technology.,—,"Information Technology, Wireless","Sunnyvale, California, United States",—,—,M&A,—,"Cadence Design Systems develops electronic design automation, software, hardware and silicon intellectual property technologies.","Electronic Design Automation (EDA), Hardware, Software","San Jose, California, United States",—,—,IPO,—
Imclone Systems acquired by Bristol-Myers Squibb,Imclone Systems,Bristol-Myers Squibb,"Jul 31, 2008",—,—,—,"A leader in therapeutic antibodies, ImClone Systems (also called the company) is committed to advancing oncology care by developing a",—,"Biotechnology, Genetics, Therapeutics","New York, New York, United States",—,—,M&A,—,"Bristol-Myers Squibb engages in the discovery, development, licensing, manufacturing, marketing, distribution and sale of pharmaceuticals.","Biotechnology, Health Care, Medical, Pharmaceutical","New York, New York, United States",—,—,IPO,1
Plum Organics acquired by Campbell Soup Company,Plum Organics,Campbell Soup Company,"May 23, 2013",—,Acquisition,—,Plum Organics is a leading organic baby food and toddler snack brand in the nation.,—,"Agriculture, Food and Beverage, Health Care, Organic Food","Emeryville, California, United States",—,—,M&A,1,"Campbell Soup Company (Campbell) together with its subsidiaries, is a manufacturer and marketer of branded convenience food products","Food and Beverage, Manufacturing","Camden, New Jersey, United States",—,—,IPO,—
Haldex acquired by BorgWarner,Haldex,BorgWarner,"Dec 17, 2010","$205,000,000",Acquisition,Cash,"Haldex AB, also known as Haldex Group, is a Swedish public company",—,"Automotive, Manufacturing","Landskrona, Skane Lan, Sweden",—,—,M&A,—,BorgWarner is a global product in powertrain solutions engineered to improve fuel economy.,"Automotive, Autonomous Vehicles, Service Industry","Auburn Hills, Michigan, United States",—,—,IPO,—
Versace acquired by Michael Kors Holdings,Versace,Michael Kors Holdings,"Sep 24, 2018","$2,000,000,000",Acquisition,—,Versace is an Italian fashion company and trade name founded by Gianni Versace in Milan in 1978.,—,"Fashion, Jewelry, Retail","Milan, Lombardia, Italy",—,"€210,000,000",M&A,1,Michael Kors Holdings Limited is a global lifestyle brand.,"Fashion, Jewelry, Retail","Harbor City, California, United States",—,—,IPO,—
Star Furniture acquired by Berkshire Hathaway,Star Furniture,Berkshire Hathaway,"Jun 24, 1997",—,Acquisition,—,Star Furniture celebrated its 100 year mark in 2012.,—,"E-Commerce, Retail","Houston, Texas, United States",—,—,M&A,—,"Berkshire Hathaway is a multinational conglomerate holding company headed by its President & CEO, Warren Buffett.","Air Transportation, Automotive, Consumer, Credit, Food Processing, Insurance, Property Insurance, Railroad, Real Estate","Omaha, Nebraska, United States",—,"$3,510,000",IPO,1
Allayer Technologies acquired by Broadcom,Allayer Technologies,Broadcom,"Oct 17, 2000","$276,000,000",Acquisition,Stock,Allayer Technologies is a developer of optical networking communications chips.,—,Optical Communication,"San Jose, California, United States",—,"$19,400,000",M&A,2,"Broadcom is a leading designer, developer and global supplier of a broad range of analog and digital semiconductor connectivity solutions.","Mobile, Semiconductor, Wireless","San Jose, California, United States",—,—,M&A,1
Mitch Cooper & Associates acquired by Cerner Corporation,Mitch Cooper & Associates,Cerner Corporation,"Mar 22, 2000","$2,000,000",Acquisition,Cash,Mitch Cooper & Associates is a well-established supply chain re-engineering consulting practice.,—,Professional Services,"Chesapeake, Virginia, United States",—,—,M&A,—,"Cerner Corporation is a supplier of healthcare information technology solutions, services, devices and hardware.","Health Care, Software","Kansas City, Missouri, United States",—,—,IPO,—
MasterTax acquired by ADP,MasterTax,ADP,"Oct 8, 2010",—,Acquisition,—,MasterTax is a provider of payroll tax filing software.,—,"Payments, Software","Scottsdale, Arizona, United States",—,—,M&A,—,"ADP provides business outsourcing solutions that facilitate businesses in HR, payroll and administration processes.","Consulting, Human Resources, Outsourcing, Payments, Software","Roseland, New Jersey, United States",—,—,IPO,—
Caesarea Medical Electronics acquired by Becton Dickinson,Caesarea Medical Electronics,Becton Dickinson,"Apr 4, 2017",—,Acquisition,—,Caesarea Medical Electronics designs and develops a range of infusion and syringe pumps.,—,"Electronics, Hardware","Caesarea, Hefa, Israel",—,"$100,000,000",M&A,1,"BD is a medical technology company that serves healthcare institutions, life science researchers, clinical laboratories and the industry.","Biotechnology, Health Care, Medical, Medical Device","Franklin Lakes, New Jersey, United States",—,"$15,000,000",IPO,2
Windhaven Investment Management acquired by Charles Schwab,Windhaven Investment Management,Charles Schwab,Nov 2010,—,—,—,"Windhaven Investment Management is a SEC-registered investment advisory firm serving individuals, trusts, retirement plans, and foundations.",—,"Banking, Consulting, Crowdfunding, Finance, Real Estate","Boston, Massachusetts, United States",—,—,M&A,—,Charles Schwabb is a U.S-based financial institution providing brokerage and banking services.,"Banking, Finance, Financial Services","San Francisco, California, United States",—,—,IPO,—
Bolthouse Farms acquired by Campbell Soup Company,Bolthouse Farms,Campbell Soup Company,"Aug 6, 2012","$1,550,000,000",Acquisition,Cash,"Bolthouse Farms is a vertically-integrated farm company that produces and offers refrigerated beverages, especially for toddlers.",—,Food Processing,"Bakersfield, California, United States",—,—,M&A,—,"Campbell Soup Company (Campbell) together with its subsidiaries, is a manufacturer and marketer of branded convenience food products","Food and Beverage, Manufacturing","Camden, New Jersey, United States",—,—,IPO,—
Skye Group acquired by CBRE Group,Skye Group,CBRE Group,"Dec 12, 2016",—,Acquisition,—,"Skye Group is a provider of retail project management, shopping center development and tenant coordination services",—,Real Estate,"Cleveland, Ohio, United States",—,—,M&A,—,"CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries","Consulting, Industrial, Intellectual Property, Project Management, Real Estate","Los Angeles, California, United States",—,"$450,000,000",IPO,2
NetLogic Microsystems acquired by Broadcom,NetLogic Microsystems,Broadcom,"Sep 12, 2011","$3,700,000,000",Acquisition,Cash & Stock,NetLogic Microsystems is a high-performance intelligent semiconductor solution that is powering next-generation internet networks.,—,"Data Center, Hardware, Semiconductor, Wireless","Mountain View, California, United States",—,"$72,000,000",M&A,3,"Broadcom is a leading designer, developer and global supplier of a broad range of analog and digital semiconductor connectivity solutions.","Mobile, Semiconductor, Wireless","San Jose, California, United States",—,—,M&A,1
Eaststarch C.V. acquired by Archer Daniels Midland Company,Eaststarch C.V.,Archer Daniels Midland Company,"Nov 1, 2015",—,Acquisition,—,"Eaststarch, Archer Daniels expects to cater to the growing demand for sweeteners.",—,"Food Processing, Snack Food","Utrecht, Utrecht, The Netherlands",—,—,M&A,—,Archer Daniels Midland Company (NYSE: ADM) have transformed crops into products that serve vital needs.,"Animal Feed, Hospitality, Industrial","Chicago, Illinois, United States",—,—,IPO,—
Forefield acquired by Broadridge,Forefield,Broadridge,"Dec 2, 2010","$19,500,000",Acquisition,—,Forefield develops software for online communication between financial institutions and their clients.,—,"Financial Services, Software","Marlborough, Massachusetts, United States",—,"$2,500,000",M&A,1,"Broadridge is a provider of investor communications and technology solutions for broker dealers, banks, mutual funds and corporate issuers.","Enterprise Software, Finance, Information Technology, Outsourcing","New York, New York, United States",—,"$750,000,000",IPO,1
Evolver acquired by Autodesk,Evolver,Autodesk,"Aug 22, 2011",—,—,—,"Evolver provides a central portal to design, manage and transport 3D digital avatars across applications.",—,"Animation, Gaming, Product Design, Software, Virtual World","Aliso Viejo, California, United States",—,"$800,000",M&A,1,"Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries.","3D Technology, Architecture, Construction, Software","San Rafael, California, United States",—,—,IPO,—
Ramot Group acquired by CBRE Group,Ramot Group,CBRE Group,"Jun 20, 2018",—,Leveraged Buyout,—,"Ramot, a facilities management provider in Israel.",—,Facilities Support Services,"Tel Aviv, Tel Aviv, Israel",—,—,M&A,—,"CBRE Group, Inc. is a holding company that conducts all of its operations through its indirect subsidiaries","Consulting, Industrial, Intellectual Property, Project Management, Real Estate","Los Angeles, California, United States",—,"$450,000,000",IPO,2
inFreeDA acquired by AT&T,inFreeDA,AT&T,Dec 2006,—,—,Cash & Stock,Advertiser-sponsored director assistance,—,"Advertising, Mobile","Menlo Park, California, United States",—,—,M&A,1,"AT&T is a telecommunications company that provides wireless communications, local exchange, and long-distance services.","Mobile, Service Industry, Telecommunications, Wireless","Dallas, Texas, United States",—,—,IPO,—
SpaceOAR acquired by Boston Scientific,SpaceOAR,Boston Scientific,"Sep 7, 2018","$600,000,000",Acquisition,Cash,SpaceOAR is a medical device company that develops space-filling hydrogels for radiation oncology and cancer surgery indications.,—,"Health Care, Health Diagnostics, Medical Device","Bedford, Massachusetts, United States",—,"$42,900,000",M&A,7,Boston Scientific is a leading innovator of medical solutions that improve the health of patients around the world.,"Health Care, Manufacturing, Medical, Medical Device","Marlborough, Massachusetts, United States",—,"$1,000,000,000",IPO,1
SBS International acquired by The Boeing Company,SBS International,The Boeing Company,"Aug 6, 2001","$22,000,000",Acquisition,—,SBS International is a developer of airline flight operations software.,—,"Information Technology, Software",—,—,—,M&A,—,"Boeing Company manufactures and sells aircraft, rotorcraft, rockets, and satellites and provides product leasing and support services.","Aerospace, Manufacturing, National Security, Transportation","Chicago, Illinois, United States",—,"$1,500,000,000",IPO,1
Beru Ag acquired by BorgWarner,Beru Ag,BorgWarner,"Nov 1, 2004",—,Acquisition,—,Beru Ag is a global automotive supplier and manufacturer of diesel cold starting technology.,—,"Automotive, Manufacturing","Ludwigsburg, Mecklenburg-Vorpommern, Germany",—,—,M&A,—,BorgWarner is a global product in powertrain solutions engineered to improve fuel economy.,"Automotive, Autonomous Vehicles, Service Industry","Auburn Hills, Michigan, United States",—,—,IPO,—
Five Star Appliance acquired by Best Buy,Five Star Appliance,Best Buy,"Feb 16, 2009",—,—,—,Five Star is the third largest retailer of consumer electronic appliances in China and is headquartered in Nanjing.,—,Hardware,"Guangdong, Jilin, China",—,—,M&A,—,Best Buy is a multinational retailer of technology and entertainment products and services offering consumer electronics and more.,"E-Commerce, Internet, Retail, Shopping","Bloomington, Minnesota, United States",—,—,IPO,—
Alldata acquired by AutoZone,Alldata,AutoZone,"Feb 7, 1996",—,Acquisition,—,Alldata is the leading provider of OEM service and repair information to the professional automotive service and collision industries.,—,"Automotive, Information Technology, Logistics, Software","Elk Grove, California, United States",—,—,M&A,—,AutoZone retails and distributes automotive replacement parts and accessories.,"Automotive, E-Commerce, Retail, Sales","Memphis, Tennessee, United States",—,—,IPO,—
Rinke Etiketten GmbH acquired by Avery Dennison,Rinke Etiketten GmbH,Avery Dennison,"Sep 22, 2004",—,Acquisition,—,"Rinke Etiketten GmbH & Co. KG drafts, develops, and produces labels and kits for the textile industry.",—,Textiles,"Sprockhövel, Nordrhein-Westfalen, Germany",—,—,M&A,—,Avery Dennison is a global leader in labeling and packaging materials and solutions.,RFID,"Glendale, California, United States",—,—,IPO,—
"Notch, Co. acquired by Capital One","Notch, Co.",Capital One,"Jan 5, 2018",—,Acquisition,—,Notch is a consulting firm that applies it’s experience in machine learning and software implementation to deliver unique solutions,—,"Apps, Artificial Intelligence, Big Data, Consulting, Information Technology, Management Consulting, Software","Richmond, Virginia, United States",—,—,M&A,—,"Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.","Banking, Credit Cards, Finance, Financial Services","Mclean, Virginia, United States",—,—,IPO,—
Unitog acquired by Cintas,Unitog,Cintas,"Jan 12, 1999","$460,000,000",Acquisition,Stock,Unitog is engaged in the provision of uniform rental services to various industries.,—,Rental,"Kansas City, Missouri, United States",—,—,M&A,—,"Headquartered in Cincinnati, OH, Cintas Corporation provides highly specialized services to businesses of all types throughout North","Compliance, Manufacturing, Public Safety, Rental, Rental Property, Training","Cincinnati, Ohio, United States",—,—,IPO,—
"Tele-Communications, Inc acquired by AT&T","Tele-Communications, Inc",AT&T,Mar 1999,—,—,—,Tele-Communications was a cable television provider in the United States. It was acquired by AT&T in 1999.,—,"Internet, Telecommunications, TV",—,—,—,M&A,—,"AT&T is a telecommunications company that provides wireless communications, local exchange, and long-distance services.","Mobile, Service Industry, Telecommunications, Wireless","Dallas, Texas, United States",—,—,IPO,—
Knowlent acquired by Cadence Design Systems,Knowlent,Cadence Design Systems,"Apr 11, 2008",—,Acquisition,—,Knowlent is an electronic design automation software company providing analog verification platforms for enterprises.,—,"Consumer Electronics, Electronic Design Automation (EDA), Electronics, Software","Santa Clara, California, United States",—,"$3,600,000",M&A,2,"Cadence Design Systems develops electronic design automation, software, hardware and silicon intellectual property technologies.","Electronic Design Automation (EDA), Hardware, Software","San Jose, California, United States",—,—,IPO,—
"Power Distribution, Inc. acquired by Eaton Corporation","Power Distribution, Inc.",Eaton Corporation,"Feb 3, 2020",—,Acquisition,—,"Power Distribution, Inc. provider of mission critical power distribution and power monitoring equipment for corporate data centers.",—,"Industrial Engineering, Mechanical Engineering","Richmond, Virginia, United States",—,—,M&A,—,"Eaton Corporation is a diversified power management company for electrical, hydraulic, and mechanical applications.","Automotive, Electrical Distribution, Hardware, Software","Dublin, Dublin, Ireland",—,"$5,400,000",IPO,3
EI-Technologies acquired by Cognizant,EI-Technologies,Cognizant,"Feb 5, 2020",—,Acquisition,—,"EI-Technologies means integrating a human-sized group, with a high-quality management and teams who are experts in their field of activity.",—,Business Information Systems,"Levallois, Ile-de-France, France",—,—,M&A,1,"Cognizant is a professional services companies, transforming clients’ business, operating and technology models for the digital era.","Consulting, Industrial Automation, Software","Teaneck, New Jersey, United States",—,"$241,000",IPO,1
Code Zero acquired by Cognizant,Code Zero,Cognizant,"Feb 3, 2020",—,Acquisition,—,Code Zero is a Platinum Salesforce Consulting Partner that crafts and delivers solutions in a way that minimizes complexity.,—,Information Technology,"Atlanta, Georgia, United States",—,—,M&A,—,"Cognizant is a professional services companies, transforming clients’ business, operating and technology models for the digital era.","Consulting, Industrial Automation, Software","Teaneck, New Jersey, United States",—,"$241,000",IPO,1
Soft-Pak acquired by Dover,Soft-Pak,Dover,"Jan 27, 2020",—,Acquisition,—,Soft-Pak provides trash software for the waste management industry.,—,"Software, Waste Management","San Diego, California, United States",—,—,M&A,—,"Dover Corporation (Dover) owns and operates a global portfolio of manufacturing companies providing components and equipment, specialty","Industrial Manufacturing, Manufacturing","Downers Grove, Illinois, United States",—,—,IPO,—
Blueface acquired by Comcast,Blueface,Comcast,"Jan 27, 2020",—,Acquisition,—,"Blueface provides unified Communications-as-a-Service to businesses, enterprises and carriers.",—,Telecommunications,"Dublin, Dublin, Ireland",—,—,M&A,—,Comcast Corporation is a global media and technology company.,"Internet, Telecommunications, TV, Video, Web Hosting","Philadelphia, Pennsylvania, United States",—,—,IPO,—
Hello Products acquired by Colgate Palmolive,Hello Products,Colgate Palmolive,"Jan 23, 2020",—,Acquisition,—,"To create safe, effective and delicious oral care products that are highly natural, vegan, never tested on animals, and made in the USA.",—,"Beauty, Dental, Personal Health","Montclair, New Jersey, United States",—,—,M&A,2,"Colgate-Palmolive is a consumer products company that produces, distributes, and provides household, healthcare, and personal products.","Beauty, Consumer Goods, Health Care","New York, New York, United States",—,—,IPO,1
Packet acquired by Equinix,Packet,Equinix,"Jan 15, 2020",—,Acquisition,—,Packet empowers developer-driven companies to deploy physical infrastructure at global scale.,—,"Cloud Computing, Cloud Infrastructure, Developer Platform, Information Services, SaaS, Software, Web Hosting","New York, New York, United States",—,"$36,567,845",M&A,5,Equinix provides a carrier-neutral interconnection data center and global colocation services.,"Cloud Data Services, Data Center, Information Technology, Infrastructure, Internet","Redwood City, California, United States",—,"$1,433,500,126",IPO,3
CID LINES acquired by Ecolab,CID LINES,Ecolab,"Jan 9, 2020",—,Acquisition,—,"CID LINES N.V. (“CID Lines” or “the Company”), a leading provider of innovative hygiene solutions",—,"Agriculture, Manufacturing, Virtual Reality","Ieper, West-Vlaanderen, Belgium",—,—,M&A,—,"Ecolab is a global leader in water, hygiene, and energy technologies and services that provide clean water, safe food, and abundant energy.","Energy, Food and Beverage, Information Technology, Renewable Energy","Beaver Creek, Minnesota, United States",—,—,IPO,—
Systech acquired by Dover,Systech,Dover,"Jan 6, 2020",—,Acquisition,—,Systech has developed an innovative software suite of products that can uniquely identify products through additive serialized numbers.,—,Software,"Princeton, New Jersey, United States",—,—,M&A,—,"Dover Corporation (Dover) owns and operates a global portfolio of manufacturing companies providing components and equipment, specialty","Industrial Manufacturing, Manufacturing","Downers Grove, Illinois, United States",—,—,IPO,—
Bluleader acquired by DXC Technology,Bluleader,DXC Technology,"Nov 4, 2019",—,Acquisition,—,Bluleader is a consulting company focused on delivering Customer Experience (CX) solutions.,—,"Business Intelligence, Consulting, CRM, Information Technology","Sydney, New South Wales, Australia",—,—,M&A,—,"DXC Technology is a end-to-end IT services company, helping clients harness the power of innovation to thrive on change.","Information Technology, Insurance","Arlington, Virginia, United States",—,—,IPO,—
XUMO acquired by Comcast,XUMO,Comcast,"Dec 26, 2019",—,Acquisition,—,"Xumo seamlessly delivers over-the-top (OTT) and video-on-demand (VOD) content direct to consumers through smart TV, mobile and desktop apps.",—,"Internet, Internet of Things, Video, Video on Demand, Video Streaming","Irvine, California, United States",—,—,M&A,—,Comcast Corporation is a global media and technology company.,"Internet, Telecommunications, TV, Video, Web Hosting","Philadelphia, Pennsylvania, United States",—,—,IPO,—
Cox Automotive acquired by eBay,Cox Automotive,eBay,"Dec 19, 2019",—,Acquisition,—,"Cox Automotive is a digital marketing, software, e-commerce for consumers, manufacturers and the overall automotive ecosystem worldwide.",—,"Automotive, Digital Marketing, E-Commerce, Marketing","Atlanta, Georgia, United States",—,—,M&A,—,eBay is an online marketplace that connects a global network of buyers and sellers.,"Auctions, E-Commerce, Internet, Retail, Search Engine","San Jose, California, United States",—,"$6,700,000",IPO,1
OxyMem acquired by DuPont,OxyMem,DuPont,"Dec 18, 2019",—,Acquisition,—,"OxyMem solves OPEX intensive wastewater treatment with the Membrane Aerated Biofilm Reactor. Adds capacity in days, up to 75% energy savings",—,"Environmental Engineering, Waste Management, Water, Water Purification","Athlone, Westmeath, Ireland",—,—,M&A,1,"DuPont offers sustainable solutions for agriculture, electronics, communications, construction, transportation and apparel markets.","Advanced Materials, Agriculture, Innovation Management","Wilmington, Delaware, United States",—,"$9,000,000",M&A,1
Exablaze acquired by Cisco,Exablaze,Cisco,"Dec 16, 2019",—,Acquisition,—,Exablaze is a software & hardware company that specializes in building the lowest latency networking software and firmware products.,—,"Computer, Information Technology, Network Hardware, Software","Melbourne, Victoria, Australia",—,—,M&A,—,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.","Communications Infrastructure, Enterprise Software, Hardware","San Jose, California, United States",—,"$2,500,000",IPO,1
Gallay Medical & Scientific Pty Ltd. acquired by Ecolab,Gallay Medical & Scientific Pty Ltd.,Ecolab,"Oct 2, 2019",—,Acquisition,—,Gallay specialises in the provision of medical and scientific equipment for a range of applications around Australia and New Zealand.,—,"Health Care, Incubators","Melbourne, Victoria, Australia",—,—,M&A,—,"Ecolab is a global leader in water, hygiene, and energy technologies and services that provide clean water, safe food, and abundant energy.","Energy, Food and Beverage, Information Technology, Renewable Energy","Beaver Creek, Minnesota, United States",—,—,IPO,—
